Materia;Carrera;Nivel;NumeroNivel
APLICACIONES WEB Y MÓVILES;1;Sexto;6
APLICACIONES DISTRIBUIDAS;1;Sexto;6
GESTIÓN DE PRUEBAS E IMPLANTACIÓN DE SOFTWARE;1;Sexto;6
REALIDAD NACIONAL;1;Sexto;6
PRACTICAS DE SERVICIO COMUNITARIO;1;Septimo;7
DESARROLLO ASISTIDO POR SOFTWARE;1;Septimo;7
AUDITORÍA DE SISTEMAS DE INFORMACIÓN;1;Septimo;7
GESTIÓN DE PROYECTOS DE SOFTWARE;1;Septimo;7
GESTIÓN DE CALIDAD DEL SOFTWARE;1;Septimo;7
INTELIGENCIA ARTIFICIAL;1;Septimo;7
PRACTICAS LABORALES;1;Octavo;8
EMPRENDIMIENTO Y LEGISLACIÓN LABORAL;1;Octavo;8
SEGURIDAD EN EL DESARROLLO DEL SOFTWARE;1;Octavo;8
INGENIERÍA ECONÓMICA PARA SOFTWARE;1;Octavo;8
DISEÑO DE PROYECTOS;1;Octavo;8
TITULACIÓN;1;Noveno;9
DESARROLLO DE PROYECTOS;1;Noveno;9
FÍSICA ;1;Nivelación;0
MATEMÁTICAS ;1;Nivelación;0
QUÍMICA;1;Nivelación;0
